title,yield,ingredient_count,step_count,image_count,source_file
Pico de Gallo,Makes about 3 cups,8,1,2,OEBPS/xhtml/c02.xhtml
Pickled Red Onions,Makes about 2 cups,4,3,0,OEBPS/xhtml/c02.xhtml
Escabeche,Makes about 5 cups,12,4,1,OEBPS/xhtml/c02.xhtml
Salsa Verde,Makes about 2 cups,7,2,0,OEBPS/xhtml/c02.xhtml
Salsa Roja,Makes about 3 cups,10,3,0,OEBPS/xhtml/c02.xhtml
Trejo’s Steak Sauce,Makes about 2 cups,11,6,1,OEBPS/xhtml/c02.xhtml
Pepita Pesto,Makes about 1 cup,39,11,2,OEBPS/xhtml/c02.xhtml
Cheesy Bean Dip,Makes about 2 cups,7,2,1,OEBPS/xhtml/c02.xhtml
Chipotle shrimp Cocktail SAUCE,Makes about 1½ cups,11,2,3,OEBPS/xhtml/c02.xhtml
Classic Fish Tacos,Makes 8 tacos,10,5,2,OEBPS/xhtml/c03.xhtml
OG Beer-Battered Fried Fish Tacos,Makes 8 tacos,14,6,1,OEBPS/xhtml/c03.xhtml
Baja Fish Tacos,Makes 4 bowls,38,16,5,OEBPS/xhtml/c03.xhtml
Gringo Tacos,Makes 4 burritos,42,15,5,OEBPS/xhtml/c03.xhtml
Mexi-Falafel Tacos,Makes 12 tacos,11,6,1,OEBPS/xhtml/c03.xhtml
Jackfruit Tacos,Makes 12 tacos,9,3,1,OEBPS/xhtml/c03.xhtml
Bacon Cheeseburger Tacos,Makes 4 bowls,25,13,5,OEBPS/xhtml/c03.xhtml
Breakfast Burrito,Makes 4 burritos,13,4,1,OEBPS/xhtml/c03.xhtml
Surf & Turf Burritos,Makes 4 burritos,13,3,1,OEBPS/xhtml/c03.xhtml
Roasted Cauliflower Tacos,Makes 8 tacos,9,8,1,OEBPS/xhtml/c03.xhtml
Roasted Cauliflower Bowls,Makes 4 bowls,10,1,0,OEBPS/xhtml/c03.xhtml
"BCR (BEAN, CHEESE & RICE) Burritos",Makes 4 burritos,6,2,0,OEBPS/xhtml/c03.xhtml
Fried Avocado Tacos,Makes 8 tacos,12,8,1,OEBPS/xhtml/c03.xhtml
Black Pepper Tofu Tacos,Makes 12 tacos,17,7,0,OEBPS/xhtml/c03.xhtml
Killer Quesadillas,Makes 2 quesadillas,4,3,1,OEBPS/xhtml/c03.xhtml
Chicken Tikka Quesadillas,Makes 2 quesadillas,6,4,0,OEBPS/xhtml/c03.xhtml
pollo frito Quesadillas,Makes 2 quesadillas,6,4,0,OEBPS/xhtml/c03.xhtml
Guacamole,Serves 6,8,2,1,OEBPS/xhtml/c04.xhtml
Shrimp & Scallop Ceviche,Serves 6,20,4,1,OEBPS/xhtml/c04.xhtml
Trejo’s Chicken Wings with Blue Cheese Dip,Serves 4 to 6 (makes 2 cups dip),19,5,1,OEBPS/xhtml/c04.xhtml
Nachos,Serves 4,8,3,1,OEBPS/xhtml/c04.xhtml
Fajitas,Serves 4,12,3,0,OEBPS/xhtml/c04.xhtml
el jefe Salad,Serves 4,14,2,0,OEBPS/xhtml/c04.xhtml
Kale Salad,Serves 4,10,1,1,OEBPS/xhtml/c04.xhtml
Roasted Brussels Sprouts,Serves 4 (makes ¾ cup chimichurri),15,4,1,OEBPS/xhtml/c04.xhtml
Street Corn on the Cob (Elote),Makes 6 pieces,6,2,1,OEBPS/xhtml/c04.xhtml
Street Corn in a Bowl,Serves 2 (4 pieces),9,3,0,OEBPS/xhtml/c04.xhtml
Cotija & Chile Mashed Potatoes,Serves 6,8,5,2,OEBPS/xhtml/c04.xhtml
Basic Black Beans,Makes 6 cups,14,3,0,OEBPS/xhtml/c04.xhtml
Spanish Rice,Serves 4 to 6,8,3,0,OEBPS/xhtml/c04.xhtml
Brown Basmati Rice,Serves 6,9,2,0,OEBPS/xhtml/c04.xhtml
Refried Black Beans,Makes about 4 cups,8,2,0,OEBPS/xhtml/c04.xhtml
Mexican-ish Risotto,Serves 6,11,3,2,OEBPS/xhtml/c04.xhtml
Trejo’s Donuts,Makes 2 dozen 3-inch donuts and 2 dozen donut holes,10,11,1,OEBPS/xhtml/c05.xhtml
Margarita Donuts,Makes 2 dozen donuts and 2 dozen donut holes,8,2,1,OEBPS/xhtml/c05.xhtml
The Abuelita,Makes 2 dozen donuts and 2 dozen donut holes,13,5,1,OEBPS/xhtml/c05.xhtml
The Lowrider,Makes 2 dozen donuts and 2 dozen donut holes,5,1,1,OEBPS/xhtml/c05.xhtml
Nacho Donuts,Makes 2 dozen donuts and 2 dozen donut holes,13,13,1,OEBPS/xhtml/c05.xhtml
Vegan Donuts,Makes 2 dozen donuts and 2 dozen donut holes,24,12,2,OEBPS/xhtml/c05.xhtml
Mexican Hot Chocolate Cookies,Makes 24 cookies,14,6,1,OEBPS/xhtml/c05.xhtml
Rice Pudding,Makes 5 cups,9,3,1,OEBPS/xhtml/c05.xhtml
Churros,Makes about twenty 5-inch churros,8,7,1,OEBPS/xhtml/c05.xhtml
Cucumber Cilantro Margarita,Makes 1 margarita,8,2,2,OEBPS/xhtml/c06.xhtml
Red Chile Margarita,Makes 1 margarita,8,2,0,OEBPS/xhtml/c06.xhtml
Lavender Margarita,Makes 1 margarita,7,1,1,OEBPS/xhtml/c06.xhtml
Pineapple Cinnamon Margarita,Makes 1 margarita,8,1,0,OEBPS/xhtml/c06.xhtml
Lime in the Coconut Margarita,Makes 1 margarita,6,2,0,OEBPS/xhtml/c06.xhtml
Hibiscus Margarita,Makes 1 margarita,7,1,0,OEBPS/xhtml/c06.xhtml
Michelada,Makes 4 micheladas,8,3,2,OEBPS/xhtml/c06.xhtml
Strawberry Lemonade,Makes six 8-ounce servings,4,1,0,OEBPS/xhtml/c06.xhtml
Date-Sweetened Horchata,Makes about ten 8-ounce servings,6,6,0,OEBPS/xhtml/c06.xhtml
